Invoice,StockCode,Description,Category,Quantity,InvoiceDate,Price,Discount,ShippingCost,CustomerID,Country,AcquisitionChannel,RevenueNet
INV530592,GFT012,Premium hamper box,Packaging,7,2024-01-02 08:23:48,17.46,0.1,4.81,10570.0,Switzerland,Email,114.81
INV530592,GFT009,Decorative pillow cover,Home decor,6,2024-01-02 08:23:48,8.78,0.0,6.57,10570.0,Switzerland,Organic,59.25
INV530592,GFT014,Desk calendar,Stationery,6,2024-01-02 08:23:48,7.29,0.05,4.02,10570.0,Switzerland,Ads,45.57
INV531845,GFT012,Premium hamper box,Packaging,4,2024-01-02 12:05:35,20.75,0.05,4.39,10702.0,United Kingdom,Marketplace,83.24
INV531845,GFT016,Kitchen apron,Kitchen,4,2024-01-02 12:05:35,14.61,0.0,1.77,10702.0,United Kingdom,Organic,60.21
INV531845,GFT020,Room spray lavender,Home fragrance,7,2024-01-02 12:05:35,7.37,0.1,5.24,10702.0,United Kingdom,Ads,51.67
INV531470,GFT002,Ceramic mug floral,Kitchen,4,2024-01-02 17:12:37,6.21,0.15,2.96,10612.0,United Kingdom,Email,24.07
INV531470,GFT013,Scented wax melts,Home fragrance,9,2024-01-02 17:12:37,5.29,0.0,6.26,10612.0,United Kingdom,Ads,53.87
INV531470,GFT014,Desk calendar,Stationery,6,2024-01-02 17:12:37,9.28,0.0,3.71,10612.0,United Kingdom,Marketplace,59.39
INV531470,GFT011,Wooden ornament,Seasonal,11,2024-01-02 17:12:37,3.8,0.15,2.95,,United Kingdom,Ads,38.48
INV531470,GFT012,Premium hamper box,Packaging,9,2024-01-02 17:12:37,19.31,0.0,4.59,10612.0,United Kingdom,Organic,178.38
INV531489,GFT019,Porcelain plate,Kitchen,7,2024-01-03 08:52:55,13.16,0.05,2.08,10085.0,United Kingdom,Organic,89.59
INV531489,GFT004,Vintage photo frame,Home decor,9,2024-01-03 08:52:55,12.76,0.1,2.46,,United Kingdom,Organic,105.82
INV531489,GFT008,Notebook botanical,Stationery,8,2024-01-03 08:52:55,5.46,0.0,7.21,10085.0,United Kingdom,Marketplace,50.89
INV531489,GFT013,Scented wax melts,Home fragrance,8,2024-01-03 08:52:55,5.25,0.0,7.21,10085.0,United Kingdom,Ads,49.21
INV531076,GFT017,Ribbon roll,Packaging,14,2024-01-03 13:35:12,1.53,0.0,2.29,10750.0,United Kingdom,Organic,23.71
INV531076,GFT018,Holiday light string,Seasonal,5,2024-01-03 13:35:12,14.11,0.15,4.09,10750.0,United Kingdom,Email,64.06
INV531076,GFT006,Gift bag medium,Packaging,3,2024-01-03 13:35:12,1.15,0.0,5.01,10750.0,United Kingdom,Marketplace,8.46
INV531076,GFT003,Handmade greeting card,Stationery,9,2024-01-03 13:35:12,2.78,0.0,3.23,10750.0,United Kingdom,Organic,28.25
INV531076,GFT007,Aroma diffuser,Home fragrance,11,2024-01-03 13:35:12,15.69,0.05,3.04,10750.0,United Kingdom,Organic,167.0
INV531689,GFT003,Handmade greeting card,Stationery,11,2024-01-03 20:36:25,2.75,0.0,4.42,10642.0,France,Ads,34.67
INV531689,GFT019,Porcelain plate,Kitchen,11,2024-01-03 20:36:25,9.1,0.1,4.27,10642.0,France,Email,94.36
INV531689,GFT017,Ribbon roll,Packaging,4,2024-01-03 20:36:25,2.46,0.1,6.35,10642.0,France,Email,15.21
INV530085,GFT011,Wooden ornament,Seasonal,8,2024-01-04 23:52:21,3.39,0.0,4.55,10726.0,EIRE,Marketplace,31.67
INV530085,GFT018,Holiday light string,Seasonal,6,2024-01-04 23:52:21,12.81,0.1,2.59,10726.0,EIRE,Organic,71.76
INV530085,GFT008,Notebook botanical,Stationery,7,2024-01-04 23:52:21,7.19,0.0,4.63,10726.0,EIRE,Ads,54.96
INV530551,GFT009,Decorative pillow cover,Home decor,7,2024-01-05 00:00:08,9.03,0.0,4.77,10400.0,Czech Republic,Organic,67.98
INV530372,GFT002,Ceramic mug floral,Kitchen,9,2024-01-05 04:18:33,5.17,0.1,4.8,10115.0,France,Marketplace,46.68
INV530372,GFT013,Scented wax melts,Home fragrance,7,2024-01-05 04:18:33,5.03,0.05,5.81,10115.0,France,Referral,39.26
INV530372,GFT020,Room spray lavender,Home fragrance,5,2024-01-05 04:18:33,8.64,0.0,4.95,10115.0,France,Organic,48.15
INV530372,GFT019,Porcelain plate,Kitchen,13,2024-01-05 04:18:33,11.64,0.0,8.04,10115.0,France,Organic,159.36
INV530372,GFT005,Tea towel cotton,Kitchen,13,2024-01-05 04:18:33,4.56,0.05,3.62,10115.0,France,Email,59.94
INV531756,GFT008,Notebook botanical,Stationery,3,2024-01-05 14:36:23,6.78,0.05,4.92,10134.0,United Kingdom,Organic,24.24
